,sentence,target,target_type,category,polarity,opinin_Term
1613,"If you venture off the island of Manhattan and ca n't seem to find a great Italian restaurant , drive to Corona .",Corona,explicit,RESTAURANT GENERAL,positive,great
1614,We all felt it was worth it .,NULL,implicit,RESTAURANT GENERAL,positive,worth
1615,Lucky Strike is a great casual place to just grab a bite to eat .,Lucky Strike,explicit,RESTAURANT GENERAL,positive,great casual
1616,I have been to Casimir over 5 times and I have always had a great time there .,Casimir,explicit,RESTAURANT GENERAL,positive,great time
1617,"great for a romantic evening , or a fun evening with friends ...",NULL,implicit,AMBIENCE GENERAL,positive,romantic
1618,"great for a romantic evening , or a fun evening with friends ...",NULL,implicit,RESTAURANT MISCELLANEOUS,positive,fun
1619,"But the best part about LS is the late night atmosphere , delightfully free of the BTs .",late night atmosphere,explicit,AMBIENCE GENERAL,positive,best
1620,The dining room is quietly elegant with no music to shout over -- how refreshing !,dining room,explicit,AMBIENCE GENERAL,positive,elegant
1621,The dining room is quietly elegant with no music to shout over -- how refreshing !,dining room,explicit,AMBIENCE GENERAL,positive,refreshing
1622,"This is such a lovely , peaceful place to eat outside .",place,explicit,AMBIENCE GENERAL,positive,lovely
1623,"This is such a lovely , peaceful place to eat outside .",place,explicit,AMBIENCE GENERAL,positive,peaceful
1624,don't be fooled by crowds of people .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,fooled
1625,"As to my comment about the food , no apology or acknowledgment was made .",NULL,implicit,SERVICE GENERAL,negative,no apology or acknowledgment
1626,Service is top notch .,Service,explicit,SERVICE GENERAL,positive,top notch
1627,"oh speaking of bathroom , the mens bathroom was disgusting .",mens bathroom,explicit,AMBIENCE GENERAL,negative,disgusting
1628,"I 'll being with a couple of positives : cool decor , good pita and hummus , and grilled octopus that was actually pretty tasty .",decor,explicit,AMBIENCE GENERAL,positive,cool
1629,"I 'll being with a couple of positives : cool decor , good pita and hummus , and grilled octopus that was actually pretty tasty .",pita,explicit,FOOD QUALITY,positive,good
1630,"I 'll being with a couple of positives : cool decor , good pita and hummus , and grilled octopus that was actually pretty tasty .",hummus,explicit,FOOD QUALITY,positive,good
1631,"I 'll being with a couple of positives : cool decor , good pita and hummus , and grilled octopus that was actually pretty tasty .",grilled octopus,explicit,FOOD QUALITY,positive,tasty
1632,"It is nearly impossible to get a table , so if you ever have the chance to go here for dinner , DO NOT pass it up .",NULL,implicit,RESTAURANT GENERAL,positive,DO NOT pass it up
1633,Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,raddichio,explicit,FOOD QUALITY,negative,bitter
1634,Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,NULL,implicit,FOOD QUALITY,positive,delicious
1635,If I could give 0 stars I would do so for this place .,place,explicit,RESTAURANT GENERAL,negative,0 stars
1636,Amazing !,NULL,implicit,FOOD QUALITY,positive,Amazing
1637,The hostess is rude to the point of being offensive .,hostess,explicit,SERVICE GENERAL,negative,rude
1638,The hostess is rude to the point of being offensive .,hostess,explicit,SERVICE GENERAL,negative,offensive
1639,The frizzy retro girl ( with winged/ Dame Edna glasses ) will yell at you if you try to order a drink .,girl,explicit,SERVICE GENERAL,negative,frizzy
1640,"peppers , onions , relish , chilli , cheeses , you NAME it .",NULL,implicit,FOOD STYLE_OPTIONS,positive,you NAME it
1641,Great atmoshere and worth every bit .,atmoshere,explicit,AMBIENCE GENERAL,positive,Great
1642,Great atmoshere and worth every bit .,NULL,implicit,RESTAURANT GENERAL,positive,worth
1643,Bison was quite excellent however .,Bison,explicit,FOOD QUALITY,positive,excellent
1644,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,food,explicit,FOOD QUALITY,positive,diamond
1645,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,balance of herbs and tomatoes,explicit,FOOD QUALITY,positive,perfect
1646,It hits the spot every time,NULL,implicit,RESTAURANT GENERAL,positive,hits the spot
1647,Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went .,Food,explicit,FOOD QUALITY,positive,good
1648,Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went .,view of the new york city skiline,explicit,LOCATION GENERAL,positive,terrific
1649,The lava cake dessert was incredible and I recommend it .,lava cake dessert,explicit,FOOD QUALITY,positive,incredible
1650,The lava cake dessert was incredible and I recommend it .,lava cake dessert,explicit,FOOD QUALITY,positive,recommend
1651,"service is friendly , and never had a problem walking in and getting a table .",service,explicit,SERVICE GENERAL,positive,friendly
1652,I will be out with friends and all of a sudden I am hungry and I only crave one thing ... their Pizza .,Pizza,explicit,FOOD QUALITY,positive,crave
1653,I was here a few weeks back and we had the worst customer service experience at a restaurant ever .,customer service,explicit,SERVICE GENERAL,negative,worst
1654,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",spicy tuna roll,explicit,FOOD QUALITY,positive,good
1655,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",rock shrimp tempura,explicit,FOOD QUALITY,positive,awesome
1656,The location and ambience is Ok but the food is what makes up for it .,location,explicit,LOCATION GENERAL,neutral,Ok
1657,The location and ambience is Ok but the food is what makes up for it .,ambience,explicit,AMBIENCE GENERAL,neutral,Ok
1658,The location and ambience is Ok but the food is what makes up for it .,food,explicit,FOOD QUALITY,positive,makes up for it
1659,I noticed alot of indian people eatting there which is a great sign for an indian place !,indian place,explicit,RESTAURANT MISCELLANEOUS,positive,great
1660,"Always a nice crowd , but never loud .",crowd,explicit,RESTAURANT MISCELLANEOUS,positive,nice
1661,"Always a nice crowd , but never loud .",NULL,implicit,AMBIENCE GENERAL,positive,never loud
1662,we love th pink pony .,pink pony,explicit,RESTAURANT GENERAL,positive,love
1663,"Nevertheless , I finished my plate , and that 's when I found a maggot in mushroom sauce at the bottom .",mushroom sauce,explicit,FOOD QUALITY,negative,maggot
1664,I started out with a Bombay beer which was big enough for two .,Bombay beer,explicit,DRINKS STYLE_OPTIONS,positive,big
1665,"The view is spectacular , and the food is great .",view,explicit,LOCATION GENERAL,positive,spectacular
1666,"The view is spectacular , and the food is great .",food,explicit,FOOD QUALITY,positive,great
1667,"What really makes it shine is the food , which is aggressively seasoned with Cyrpriot spices , and all made in-house ( even the gyro meat and sausages ) , and made of much higher quality ingredients that might otherwise be expected .",food,explicit,FOOD QUALITY,positive,shine
1668,"What really makes it shine is the food , which is aggressively seasoned with Cyrpriot spices , and all made in-house ( even the gyro meat and sausages ) , and made of much higher quality ingredients that might otherwise be expected .",gyro meat,explicit,FOOD QUALITY,positive,in-house
1669,"What really makes it shine is the food , which is aggressively seasoned with Cyrpriot spices , and all made in-house ( even the gyro meat and sausages ) , and made of much higher quality ingredients that might otherwise be expected .",sausages,explicit,FOOD QUALITY,positive,in-house
1670,"What really makes it shine is the food , which is aggressively seasoned with Cyrpriot spices , and all made in-house ( even the gyro meat and sausages ) , and made of much higher quality ingredients that might otherwise be expected .",ingredients,explicit,FOOD QUALITY,positive,higher quality
1671,What a great place .,place,explicit,RESTAURANT GENERAL,positive,great
1672,Which of course is not real Kobe but Wagyu beef .,NULL,implicit,FOOD QUALITY,negative,not real
1673,"Also , specify if you like your food spicy- its rather bland if you don't .",food,explicit,FOOD QUALITY,negative,bland
1674,They were served warm and had a soft fluffy interior .,NULL,implicit,FOOD QUALITY,positive,warm
1675,They were served warm and had a soft fluffy interior .,NULL,implicit,FOOD QUALITY,positive,a soft fluffy interior
1676,"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",svc,explicit,SERVICE GENERAL,negative,rude
1677,"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",restaurant,explicit,RESTAURANT GENERAL,positive,must
1678,I had a great experience .,NULL,implicit,RESTAURANT GENERAL,positive,great
1679,MMMMMMMMMmmmmmm so delicious,NULL,implicit,FOOD QUALITY,positive,delicious
1680,It is thick and slightly soggy .,NULL,implicit,FOOD QUALITY,negative,thick
1681,It is thick and slightly soggy .,NULL,implicit,FOOD QUALITY,negative,soggy
1682,"The first time the sushi was outstanding , the second time it was a little bland .",sushi,explicit,FOOD QUALITY,positive,outstanding
1683,"The first time the sushi was outstanding , the second time it was a little bland .",sushi,explicit,FOOD QUALITY,negative,bland
1684,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,cannot recommend a better
1685,"The food is flavorful , plentiful and reasonably priced .",food,explicit,FOOD QUALITY,positive,flavorful
1686,"The food is flavorful , plentiful and reasonably priced .",food,explicit,FOOD STYLE_OPTIONS,positive,plentiful
1687,"The food is flavorful , plentiful and reasonably priced .",food,explicit,FOOD PRICES,positive,reasonably priced
1688,Have frequented 'ino for several years and the food remains excellent .,food,explicit,FOOD QUALITY,positive,excellent
1689,Gorgeous place ideal for a romantic dinner,place,explicit,AMBIENCE GENERAL,positive,Gorgeous
1690,Gorgeous place ideal for a romantic dinner,place,explicit,RESTAURANT MISCELLANEOUS,positive,ideal
1691,"quacamole at pacifico is yummy , as are the wings with chimmichuri .",quacamole,explicit,FOOD QUALITY,positive,yummy
1692,"quacamole at pacifico is yummy , as are the wings with chimmichuri .",wings with chimmichuri,explicit,FOOD QUALITY,positive,yummy
1693,Cute and decorative .,NULL,implicit,AMBIENCE GENERAL,positive,Cute
1694,Cute and decorative .,NULL,implicit,AMBIENCE GENERAL,positive,decorative
1695,"I found the food to be outstanding , particulary the salmon dish I had .",food,explicit,FOOD QUALITY,positive,outstanding
1696,"I found the food to be outstanding , particulary the salmon dish I had .",salmon dish,explicit,FOOD QUALITY,positive,outstanding
1697,My wife had the fried shrimp which are huge and loved it .,fried shrimp,explicit,FOOD STYLE_OPTIONS,positive,huge
1698,My wife had the fried shrimp which are huge and loved it .,fried shrimp,explicit,FOOD QUALITY,positive,loved
1699,Try sushimi cucumber roll .,sushimi cucumber roll,explicit,FOOD QUALITY,positive,Try
1700,Amazing food .,food,explicit,FOOD QUALITY,positive,Amazing
1701,I do not recommend .,NULL,implicit,RESTAURANT GENERAL,negative,do not recommend
1702,Truly the mark of an attentive waiter .,waiter,explicit,SERVICE GENERAL,positive,attentive
1703,Wouldn 't recomend it for dinner !,NULL,implicit,RESTAURANT GENERAL,negative,Wouldn 't recomend
1704,The pizza was delivered cold and the cheese wasn't even fully melted !,pizza,explicit,FOOD QUALITY,negative,cold
1705,The pizza was delivered cold and the cheese wasn't even fully melted !,cheese,explicit,FOOD QUALITY,negative,wasn't even fully melted
1706,the last time i walked by it looked pretty empty . hmmm .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,empty
1707,I 'd be horrified if my staff were turning away customers so early and so rudely !,staff,explicit,SERVICE GENERAL,negative,horrified
1708,Which lets face it ... .at times it's a good thing .,NULL,implicit,SERVICE GENERAL,positive,good
1709,The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand .,waiter,explicit,SERVICE GENERAL,negative,garbage
1710,You cannot go wrong with this place .,place,explicit,RESTAURANT GENERAL,positive,wrong
1711,"I am so coming back here again , as much as I can .",NULL,implicit,RESTAURANT GENERAL,positive,coming back
1712,We paid a fixed pricce but got nothing ! !,NULL,implicit,SERVICE GENERAL,negative,got nothing
1713,"We ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .",chicken casserole,explicit,FOOD QUALITY,negative,all dark meat and on the bone 
1714,"We ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .",chicken casserole,explicit,FOOD STYLE_OPTIONS,negative,small
1715,When I got there the place was packed but they made sure to seat me quickly .,NULL,implicit,SERVICE GENERAL,positive,seat me quickly 
1716,The sushi was awful !,sushi,explicit,FOOD QUALITY,negative,awful
1717,Slightly on the pricey side but worth it !,NULL,implicit,RESTAURANT PRICES,negative,pricey
1718,Slightly on the pricey side but worth it !,NULL,implicit,RESTAURANT GENERAL,positive,worth
1719,The staff is no nonsense .,staff,explicit,SERVICE GENERAL,positive,no nonsense
1720,its alright,NULL,implicit,RESTAURANT GENERAL,neutral,alright
1721,All of the pizzas are terrific and the price is even better !,pizzas,explicit,FOOD QUALITY,positive,terrific
1722,All of the pizzas are terrific and the price is even better !,NULL,implicit,RESTAURANT PRICES,positive,even better
1723,"Cute place , nice wait staff but would never go there again .",wait staff,explicit,SERVICE GENERAL,positive,nice
1724,"Cute place , nice wait staff but would never go there again .",place,explicit,AMBIENCE GENERAL,positive,Cute
1725,"Cute place , nice wait staff but would never go there again .",place,explicit,RESTAURANT GENERAL,negative,never go
1726,"The entree was bland and small , dessert was not inspired .",entree,explicit,FOOD QUALITY,negative,bland
1727,"The entree was bland and small , dessert was not inspired .",entree,explicit,FOOD STYLE_OPTIONS,negative,small
1728,"The entree was bland and small , dessert was not inspired .",dessert,explicit,FOOD QUALITY,negative,not inspired
1729,Our family never expected such incredible entertainment in a restaurant .,entertainment,explicit,AMBIENCE GENERAL,positive,incredible
1730,noodles with shrimp and chicken and coconut juice is the MUST !,noodles with shrimp and chicken and coconut juice,explicit,FOOD QUALITY,positive,MUST
1731,The scallion pancakes and fried dumplings were nothing out of the ordinary .,scallion pancakes,explicit,FOOD QUALITY,neutral,ordinary
1732,The scallion pancakes and fried dumplings were nothing out of the ordinary .,fried dumplings,explicit,FOOD QUALITY,neutral,ordinary
1733,I really liked this place .,place,explicit,RESTAURANT GENERAL,positive,liked
1734,Super YUMMY Pizza !,Pizza,explicit,FOOD QUALITY,positive,YUMMY
1735,I have NEVER been disappointed in the Red Eye .,Red Eye,explicit,RESTAURANT GENERAL,positive,NEVER been disappointed
1736,Will absolutely visit again .,NULL,implicit,RESTAURANT GENERAL,positive,visit again
1737,I ordered the vitello alla marsala and I was pretty impressed .,vitello alla marsala,explicit,FOOD QUALITY,positive,impressed
1738,Quick and friendly service .,service,explicit,SERVICE GENERAL,positive,Quick
1739,Quick and friendly service .,service,explicit,SERVICE GENERAL,positive,friendly
1740,"Once we finally got a table , despite indicating we wanted an alla carte menu we were pushed into a table that was only price fixed !",NULL,implicit,SERVICE GENERAL,negative,pushed
1741,Warning : You may find it difficult to dine at other Japanese restaurants after a visit to Mizu !,Mizu,explicit,RESTAURANT GENERAL,positive,difficult
1742,What a great place !,place,explicit,RESTAURANT GENERAL,positive,great
1743,Myagi is one of my favorite restaurants in the City ; the place the negative reviews describe sound like they were somewhere else .,Myagi,explicit,RESTAURANT GENERAL,positive,favorite
1744,"Cool atmosphere , the fire place in the back really ads to it but needs a bit more heat throughout on a cold night .",atmosphere,explicit,AMBIENCE GENERAL,positive,Cool
1745,"Cool atmosphere , the fire place in the back really ads to it but needs a bit more heat throughout on a cold night .",fire place,explicit,AMBIENCE GENERAL,positive,really ads to it
1746,"The atmosphere is nothing special , but it feels like a Sushi establishment in Tokyo .",atmosphere,explicit,AMBIENCE GENERAL,positive,nothing special
1747,The tuna and wasabe potatoes are excellent .,tuna,explicit,FOOD QUALITY,positive,excellent
1748,The tuna and wasabe potatoes are excellent .,wasabe potatoes,explicit,FOOD QUALITY,positive,excellent
1749,Have never had a problem with service save a missing rice once .,service,explicit,SERVICE GENERAL,positive,problem
1750,"We were worried we would have trouble getting in , but somehow managed to have a short wait .",wait,explicit,SERVICE GENERAL,positive,short
1751,"Inside is a little cramped , but to be expected .",NULL,implicit,AMBIENCE GENERAL,neutral,to be expected
1752,I was pleasantly surprised to find this gem in Hoboken .,NULL,implicit,RESTAURANT GENERAL,positive,pleasantly surprised
1753,The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .,fried oysters and clams,explicit,FOOD QUALITY,positive,delicious
1754,The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .,fried oysters and clams,explicit,FOOD STYLE_OPTIONS,negative,tiny portion
1755,The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .,NULL,implicit,SERVICE GENERAL,positive,served quickly
1756,"I ca n't wait for summer , when they serve outside on their gigantic patio .",patio,explicit,AMBIENCE GENERAL,positive,gigantic
1757,Keep up the good work guys !,NULL,implicit,RESTAURANT GENERAL,positive,good
1758,"stick with the chicken , beef , and lamb dishes .",chicken,explicit,FOOD QUALITY,positive,stick
1759,"stick with the chicken , beef , and lamb dishes .",beef,explicit,FOOD QUALITY,positive,stick
1760,"stick with the chicken , beef , and lamb dishes .",lamb dishes,explicit,FOOD QUALITY,positive,stick
1761,A little overpriced but worth it once you take a bite .,NULL,implicit,FOOD PRICES,negative,overpriced
1762,A little overpriced but worth it once you take a bite .,NULL,implicit,FOOD QUALITY,positive,worth
1763,Over all it was a very nice romantic place .,place,explicit,RESTAURANT GENERAL,positive,nice romantic
1764,Over all it was a very nice romantic place .,place,explicit,AMBIENCE GENERAL,positive,nice romantic
1765,"Rather than preparing vegetarian dish , the chef presented me with a plate of steamed vegetables ( minus sauce , seasoning , or any form or aesthetic presentation ) .",vegetarian dish,explicit,FOOD STYLE_OPTIONS,negative,"minus sauce , seasoning , or any form or aesthetic presentation"
1766,"Good , fast service .",service,explicit,SERVICE GENERAL,positive,Good
1767,"Good , fast service .",service,explicit,SERVICE GENERAL,positive,fast
1768,"A big disappointment , all around .",NULL,implicit,RESTAURANT GENERAL,negative,disappointment
1769,This is the BEST Shabu-Shabu Restaurant in the Try-State Area .,Shabu-Shabu Restaurant,explicit,RESTAURANT GENERAL,positive,BEST
1770,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent .,NULL,implicit,RESTAURANT GENERAL,positive,magnificent
1771,The place was nice and calm .,place,explicit,AMBIENCE GENERAL,positive,nice
1772,The place was nice and calm .,place,explicit,AMBIENCE GENERAL,positive,calm
1773,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,lobster sandwich,explicit,FOOD QUALITY,positive,good
1774,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,spaghetti with Scallops and Shrimp,explicit,FOOD QUALITY,positive,great
1775,"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",sushi,explicit,FOOD QUALITY,positive,great
1776,"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",thai food,explicit,FOOD QUALITY,positive,excellent
1777,"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",Planet Thailand,explicit,RESTAURANT GENERAL,positive,hit
1778,would NOT go back .,NULL,implicit,RESTAURANT GENERAL,negative,NOT go back
1779,We were charged full price .,NULL,implicit,SERVICE GENERAL,negative,full price
1780,"Will comeback for sure , wish they have it here in LA . .",NULL,implicit,RESTAURANT GENERAL,positive,comeback
1781,You cannot go wrong at the Red Eye Grill .,Red Eye Grill,explicit,RESTAURANT GENERAL,positive,cannot go wrong
1782,"All in all , the food was great ( except for the dessserts ) .",food,explicit,FOOD QUALITY,positive,great
1783,"When family came in he gave them apps to test their palets , and then ordered for them .",NULL,implicit,SERVICE GENERAL,positive,ordered for them
1784,There is no excuse for such lousy service !,service,explicit,SERVICE GENERAL,negative,lousy
1785,Save your money and your time and go somewhere else .,NULL,implicit,RESTAURANT GENERAL,negative,go somewhere else
1786,We were very disappointed .,NULL,implicit,FOOD QUALITY,negative,disappointed
1787,"Also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ .",waiters,explicit,SERVICE GENERAL,negative,push
1788,The place itself is beautiful the bar scene seems to be happening .,place,explicit,AMBIENCE GENERAL,positive,beautiful
1789,"For the people who want great food plus great service , Roxy is a place to AVOID !",food,explicit,FOOD QUALITY,negative,great
1790,"For the people who want great food plus great service , Roxy is a place to AVOID !",service,explicit,SERVICE GENERAL,negative,great
1791,"When we stumbled on Leon , we thought that we had found quite the gem BUT , we were certainly wrong .",Leon,explicit,RESTAURANT GENERAL,negative,certainly wrong
1792,The pizza is yummy and I like the atmoshpere .,pizza,explicit,FOOD QUALITY,positive,yummy
1793,The pizza is yummy and I like the atmoshpere .,atmoshpere,explicit,AMBIENCE GENERAL,positive,like
1794,The Seafood Dynamite is also otherworldly .,Seafood Dynamite,explicit,FOOD QUALITY,positive,otherworldly
1795,this place had ALL the trimmings and i mean all .,trimmings,explicit,FOOD STYLE_OPTIONS,positive,ALL
1796,I had the best ravioli ever .,ravioli,explicit,FOOD QUALITY,positive,best
1797,I cannot imagine better Indian food in all of the city .,Indian food,explicit,FOOD QUALITY,positive,better
1798,Cozy romantic atomosphere with only around 15 tables at most .,atomosphere,explicit,AMBIENCE GENERAL,positive,Cozy romantic
1799,"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",pizza,explicit,FOOD QUALITY,positive,enjoyed
1800,"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",santa fe chopped salad,explicit,FOOD QUALITY,positive,enjoyed
1801,"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",fish and chips,explicit,FOOD QUALITY,positive,enjoyed
1802,Best Taiwanese food in NY !,Taiwanese food,explicit,FOOD QUALITY,positive,Best
1803,The food was mediocre at best but it was the horrible service that made me vow never to go back .,food,explicit,FOOD QUALITY,negative,mediocre
1804,The food was mediocre at best but it was the horrible service that made me vow never to go back .,service,explicit,SERVICE GENERAL,negative,horrible
1805,"If you are looking for a good quality , cheap eats - this is the place .",eats,explicit,FOOD QUALITY,positive,good quality
1806,"If you are looking for a good quality , cheap eats - this is the place .",eats,explicit,FOOD PRICES,positive,cheap
1807,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai .,beef and noodle soup dishes,explicit,FOOD QUALITY,negative,nothing we got was Thai
1808,"The bibimbap was average , but the stone bowl wasn't even close to sizzling .",bibimbap,explicit,FOOD QUALITY,neutral,average
1809,"The bibimbap was average , but the stone bowl wasn't even close to sizzling .",stone bowl,explicit,FOOD QUALITY,negative,wasn't even close to sizzling
1810,"This place , which is only a few months old , is perhaps Queens ' biggest secret !",place,explicit,RESTAURANT GENERAL,positive,Queens ' biggest secret
1811,Food was good not great not worth the wait or another visit,Food,explicit,FOOD QUALITY,neutral,good not great not worth the wait or another visit
1812,"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !",neighborhood,explicit,LOCATION GENERAL,positive,great
1813,"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !",food,explicit,FOOD QUALITY,positive,great
1814,My friend got the mushroom pizza which tasted better .,mushroom pizza,explicit,FOOD QUALITY,positive,better
1815,"I paid just about $ 60 for a good meal , though : )",meal,explicit,FOOD QUALITY,positive,good
1816,"I paid just about $ 60 for a good meal , though : )",meal,explicit,FOOD PRICES,positive,good
1817,Nice view of river and NYC .,view of river and NYC,explicit,LOCATION GENERAL,positive,Nice
1818,"I found it on a cold night , the perfect spot to warm up .",spot,explicit,RESTAURANT MISCELLANEOUS,positive,perfect
1819,I was very disappointed with this restaurant .,restaurant,explicit,RESTAURANT GENERAL,negative,disappointed
1820,MMmmm ... it was delicious .,NULL,implicit,FOOD QUALITY,positive,delicious
1821,I 'd definitely go back again .,NULL,implicit,RESTAURANT GENERAL,positive,go back
1822,The omlette for brunch is great ...,omlette for brunch,explicit,FOOD QUALITY,positive,great
1823,The fried dumplings are GREAT !,fried dumplings,explicit,FOOD QUALITY,positive,GREAT
1824,"If you are going for the food , it will not be worth it .",food,explicit,FOOD QUALITY,negative,worth
1825,Never again !,NULL,implicit,RESTAURANT GENERAL,negative,Never
1826,"First of all , this place is *not* romantic , as claimed by Citysearch 's editorial review .",place,explicit,AMBIENCE GENERAL,negative,*not* romantic
1827,Got a date ? Go here !,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,Go here
1828,My fav was the sassy lassi ...,sassy lassi,explicit,DRINKS QUALITY,positive,fav
1829,An excellent service,service,explicit,SERVICE GENERAL,positive,excellent
1830,Highly impressed from the decor to the food to the hospitality to the great night I had !,decor,explicit,AMBIENCE GENERAL,positive,impressed
1831,Highly impressed from the decor to the food to the hospitality to the great night I had !,food,explicit,FOOD QUALITY,positive,impressed
1832,Highly impressed from the decor to the food to the hospitality to the great night I had !,NULL,implicit,SERVICE GENERAL,positive,hospitality
1833,Highly impressed from the decor to the food to the hospitality to the great night I had !,NULL,implicit,RESTAURANT GENERAL,positive,great
1834,The place is beautiful !,place,explicit,AMBIENCE GENERAL,positive,beautiful
1835,Worth visiting the 1st Ave spot because it is the original store .,1st Ave spot,explicit,RESTAURANT MISCELLANEOUS,positive,Worth visiting
1836,"Overall , excellent restaurant !",restaurant,explicit,RESTAURANT GENERAL,positive,excellent
1837,Fantastic !,NULL,implicit,RESTAURANT GENERAL,positive,Fantastic
1838,Mazing interior .,interior,explicit,AMBIENCE GENERAL,negative,Mazing
1839,A weakness is the chicken in the salads .,chicken in the salads,explicit,FOOD QUALITY,negative,weakness
1840,Shame on this place for the horrible rude staff and non-existent customer service .,staff,explicit,SERVICE GENERAL,negative,rude
1841,Shame on this place for the horrible rude staff and non-existent customer service .,customer service,explicit,SERVICE GENERAL,negative,non-existent
1842,But too far east !,NULL,implicit,LOCATION GENERAL,negative,too far
1843,We started off with a delightful sashimi amuse bouche .,sashimi amuse bouche,explicit,FOOD QUALITY,positive,delightful
1844,"Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie .",brasserie,explicit,RESTAURANT GENERAL,positive,good
1845,"Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie .",brasserie,explicit,RESTAURANT PRICES,positive,good
1846,it's a nice place to relax and have conversation .,place,explicit,AMBIENCE GENERAL,positive,nice
1847,But that wasn't the icing on the cake : a tiramisu that resembled nothing I have ever had .,tiramisu,explicit,FOOD QUALITY,negative,nothing
1848,Pizza here is consistently good .,Pizza,explicit,FOOD QUALITY,positive,good
1849,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork .,egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork,explicit,FOOD QUALITY,positive,love
1850,"The food was very good , a great deal , and the place its self was great .",food,explicit,FOOD QUALITY,positive,good
1851,"The food was very good , a great deal , and the place its self was great .",food,explicit,FOOD PRICES,positive,good
1852,"The food was very good , a great deal , and the place its self was great .",place,explicit,AMBIENCE GENERAL,positive,great
1853,I couldn 't even enjoy the mashed potatoes because it was hidden completely under the chicken and spinach .,NULL,implicit,FOOD STYLE_OPTIONS,negative,couldn 't even enjoy
1854,The Yellowtail was particularly good as well .,Yellowtail,explicit,FOOD QUALITY,positive,good
1855,"With so many poor experiences to be had in the theater district , is truly an excellent find !",NULL,implicit,RESTAURANT GENERAL,positive,excellent
1856,"Price is high but the food is good , so I would come back again .",food,explicit,FOOD QUALITY,positive,good
1857,"Price is high but the food is good , so I would come back again .",food,explicit,FOOD PRICES,negative,high
1858,"Price is high but the food is good , so I would come back again .",NULL,implicit,RESTAURANT GENERAL,positive,come back
1859,"A cool bar with great food , and tons of excellent beer .",bar,explicit,AMBIENCE GENERAL,positive,cool
1860,"A cool bar with great food , and tons of excellent beer .",food,explicit,FOOD QUALITY,positive,great
1861,"A cool bar with great food , and tons of excellent beer .",beer,explicit,DRINKS QUALITY,positive,excellent
1862,"A cool bar with great food , and tons of excellent beer .",beer,explicit,DRINKS STYLE_OPTIONS,positive,excellent
1863,The wine list was extensive - though the staff did not seem knowledgeable about wine pairings .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,extensive
1864,The wine list was extensive - though the staff did not seem knowledgeable about wine pairings .,staff,explicit,SERVICE GENERAL,negative,not seem knowledgeable
1865,"Their calzones are horrific , bad , vomit-inducing , YUCK .",calzones,explicit,FOOD QUALITY,negative,horrific
